sentence_id,sentence,language
522,Nobody knows how I feel.,eng
523,Nobody invited me to the party.,eng
524,Nobody heard the bell ring.,eng
525,Nobody has made a decision yet.,eng
526,Nobody can stop it.,eng
527,The candle went out by itself.,eng
528,Nobody can beat me.,eng
529,Nobody asked me anything.,eng
530,Nobody appreciates me.,eng
531,Was there anyone else around?,eng
532,I hope I haven't offended anyone.,eng
533,Does anyone have any other questions?,eng
534,Does anybody know about this?,eng
535,Does anybody need anything?,eng
536,Does anyone care?,eng
537,Does anyone know you're here?,eng
538,Does anybody hear me?,eng
539,Tom made his way through the crowd.,eng
540,My family are all early risers.,eng
541,Does anybody have a can opener?,eng
542,Do you trust anyone?,eng
543,Do you recognize anyone?,eng
544,In this line of work,eng
545,Do you know anyone here?,eng
546,Do you know someone here?,eng
547,Do you know anybody here?,eng
548,The cat is in its basket.,eng
549,I'm no use to anyone.,eng
550,Is anyone on board?,eng
551,Is anyone in there?,eng
552,Is anyone here yet?,eng
553,Is anyone going to eat that?,eng
554,Is anyone else home?,eng
555,Anyone could do that.,eng
556,Did you bring an umbrella with you?,eng
557,They rowed up the river.,eng
558,Is anybody there?,eng
559,Is there anyone there?,eng
560,Is anybody ready for dessert?,eng
561,Did anyone miss me?,eng
562,Anybody in here?,eng
563,Is anybody hurt?,eng
564,That's why I trust you.,eng
565,Is anybody else scared?,eng
566,I won't tell anyone.,eng
567,Welcome to Tatoeba!,eng
568,If you don't trust them,eng
569,He saw the accident on the way to school.,eng
570,I was never worried about you.,eng
571,He idles away his time.,eng
572,Where are you going to vacation this summer?,eng
573,I never stop thinking about you.,eng
574,I'm not writing about you.,eng
575,Fizzy water isn't very popular in America.,eng
576,I've read all about you.,eng
577,In my opinion,eng
578,Not everything is about you.,eng
579,I feel the same way about you.,eng
580,After a bit of googling,eng
581,I'm a bit hungry.,eng
582,I'm a little bit hungry.,eng
583,I'm slightly hungry.,eng
584,I couldn't have solved this case without you.,eng
585,Suddenly,eng
586,What an interesting book!,eng
587,I have to buy a new carpet for this room.,eng
588,We're better off without you.,eng
589,I figured it was better not to go without you.,eng
590,She showed me her new car.,eng
591,I figured that it was better not to go without you.,eng
592,The man driving the bus is a good friend of mine.,eng
593,She has a kind heart.,eng
594,I can do this with you or without you.,eng
595,I don't know if I can make it without you.,eng
596,I knew I wanted you the moment I saw you.,eng
597,Please sit here.,eng
598,I have so much to show you.,eng
599,I know that he didn't say good things about me.,eng
600,Who is your favorite author?,eng
601,Who's your favorite writer?,eng
602,Don't smoke here.,eng
603,Our fridge doesn't work anymore.,eng
604,I could tutor you.,eng
605,I could see it was you.,eng
606,I'm sorry if my being here embarrasses you.,eng
607,I like living here.,eng
608,I know the cure for what ails you.,eng
609,I'm glad to be the one who tells you.,eng
610,The architect boasted that he had received a prestigious award.,eng
611,Just leave me alone. You're pathetic.,eng
612,If only I'd sold that property before the economic bubble burst I wouldn't have lost all that money.,eng
613,I'll travel across Europe by bicycle this summer.,eng
614,My luggage didn't arrive. What happened?,eng
615,First,eng
616,It was driving me crazy.,eng
617,He makes it a rule to take a walk every morning.,eng
618,I'm sorry if I snapped at you.,eng
619,You can put me in jail,eng
620,In the long run we are all dead.,eng
621,He made a little statue out of soft clay.,eng
622,I didn't talk to anybody.,eng
623,I didn't see anyone using it.,eng
624,I didn't see anyone else.,eng
625,I didn't rescue anybody.,eng
626,I didn't mean to hurt anyone.,eng
627,I didn't know anyone was there.,eng
628,Didn't anyone tell you?,eng
629,Didn't anyone question you?,eng
630,Did you tell anybody?,eng
631,Did you see anyone suspicious?,eng
632,Did you see anyone on the beach?,eng
633,Did you see anyone leave?,eng
634,Did you see anyone?,eng
635,Did you see anybody?,eng
636,Did you see anybody else?,eng
637,Did you kiss anybody?,eng
638,Did you kill anybody?,eng
639,Did you hug anybody?,eng
640,Did you call anyone else?,eng
641,Did I forget anyone?,eng
642,Did anybody see you?,eng
643,Anybody see you?,eng
644,The building was heavily damaged by fire.,eng
645,Did anyone see you there?,eng
646,Did anybody see you there?,eng
647,Did anyone see you on the beach?,eng
648,Do you think it's a good idea to feed your dog table scraps?,eng
649,Did anyone see you come in here?,eng
650,Did anybody see what happened?,eng
651,I've upset you.,eng
652,Man is a more dangerous foe to man than the elements of nature or animals in the wild.,eng
653,I never should've left you.,eng
654,I never should have left you.,eng
655,I got you all right where I want you.,eng
656,I have no wish to live in a large city.,eng
657,That's why we want you.,eng
658,I guess I didn't want to disappoint you.,eng
659,I saw an old man fall on his back in the street.,eng
660,I never would've shot you.,eng
661,I never would have shot you.,eng
662,I almost shot you.,eng
663,When he's sad,eng
664,I have a feeling that tonight is going to be a good night!,eng
665,That can't be good for you.,eng
666,His music made a deep impression on me.,eng
667,The unemployment rate dropped to a five-year low in January.,eng
668,I guess that's good for you.,eng
669,That shouldn't be hard for you.,eng
670,We got all the materials together.,eng
671,It depends on the weather.,eng
672,Come by later,eng
673,My sister has a piano.,eng
674,There's a guy downstairs asking for you.,eng
675,Islam emerged in the Arabian Peninsula in the seventh century.,eng
676,I'll have lunch waiting for you.,eng
677,They'll be rooting for you.,eng
678,He would sit for hours reading detective stories.,eng
679,Of course I'll wait.,eng
680,I'm not happy.,eng
681,I am not happy.,eng
682,I'm not satisfied.,eng
683,She guided her business to success.,eng
684,It is illegal to copy from books without the author's permission.,eng
685,All of the town was destroyed by a fire.,eng
686,His diligence earned him success.,eng
687,I was given a nice present by my uncle.,eng
688,I studied around the clock.,eng
689,She sold postcards.,eng
690,You used to sell some apples at the market.,eng
691,You sold some apples at the market.,eng
692,Tom doesn't like cats.,eng
693,We listened to the shooting.,eng
694,She sold some apples at the market.,eng
695,Tom likes snow.,eng
696,Today is a good day!,eng
697,She is kind.,eng
698,He'll be glad to see you.,eng
699,Do you drink beer or wine?,eng
700,My trousers are wet.,eng
701,I drink his beer.,eng
702,These trousers are dirty.,eng
703,I don't know the exact place I was born.,eng
704,She isn't kind to him. In fact,eng
705,I've just eaten breakfast.,eng
706,I want to buy a few pairs of trousers.,eng
707,Maria is wearing a burqa.,eng
708,Bring water with the bucket.,eng
709,I don't drink beer,eng
710,I love him despite his faults.,eng
711,That's a nice coat.,eng
712,I found a pair of gloves under the chair.,eng
713,I saw your father.,eng
714,Look! The train is there!,eng
715,Your daily life is your temple and your religion.,eng
716,It is his character that makes each one his destiny.,eng
717,She bought a toaster,eng
718,I feel cold this morning.,eng
719,There are different types of niqab,eng
720,The garden was full of beautiful flowers.,eng
721,"Heart and ""choir"" have the same pronunciation.",eng
722,Out of sight,eng
723,The burqa is a choice.,eng
724,Where is my Meerschaum pipe?,eng
725,The Beurs March broke out after several episodes of racism and violence.,eng
726,It is necessary to protect the national unity.,eng
727,The old man starved to death.,eng
728,Were you with anyone?,eng
729,I have a friend I correspond with.,eng
730,I'd like to rent a house.,eng
731,I just didn't know how.,eng
732,I don't want to bother you.,eng
733,I just didn't sleep well.,eng
734,I just didn't want to take any chances.,eng
735,I just didn't want to upset you.,eng
736,Let's try something.,eng
737,What are you doing?,eng
738,What is this?,eng
739,Today is June 18th and it is Muiriel's birthday!,eng
740,Happy birthday,eng
741,Muiriel is 20 now.,eng
742,"The password is ""Muiriel"".",eng
743,I will be back soon.,eng
744,I don't know.,eng
745,Words fail me.,eng
746,This is never going to end.,eng
747,I just don't know what to say.,eng
748,That was an evil bunny.,eng
749,I was in the mountains.,eng
750,Is it a recent picture?,eng
751,I don't know if I have the time.,eng
752,For some reason the microphone didn't work earlier.,eng
753,Everyone must learn on their own in the end.,eng
754,Education in this world disappoints me.,eng
755,Learning should not be forced. Learning should be encouraged.,eng
756,It is a difficult task,eng
757,That won't change anything.,eng
758,This will cost €30.,eng
759,I make 100 euros per day.,eng
760,I may give up soon and just nap instead.,eng
761,It's because you don't want to be alone.,eng
762,That won't happen.,eng
763,Sometimes he can be a strange guy.,eng
764,I'll do my best not to disturb your studying.,eng
765,I can only wonder if this is the same for everyone else.,eng
766,I suppose it's different when you think about it over the long term.,eng
767,Don't worry about it!,eng
768,I miss you.,eng
769,I’ll call them tomorrow when I return home.,eng
770,I always liked mysterious characters more.,eng
771,You should go to sleep.,eng
772,I told them to send me another ticket.,eng
773,You're so impatient with me.,eng
774,I can't live that kind of life.,eng
775,I once wanted to be an astrophysicist.,eng
776,I never liked biology.,eng
777,The last person I told my idea to thought I was nuts.,eng
778,If the world weren't in the shape it is now,eng
779,It is unfortunately true.,eng
780,They are too busy fighting against each other to care for common ideals.,eng
781,Most people think I'm crazy.,eng
782,No I'm not; you are!,eng
783,That's my line!,eng
784,He's kicking me!,eng
785,Are you sure?,eng
786,Then there is a problem...,eng
787,Oh,eng
788,Hurry it up!,eng
789,It doesn't surprise me.,eng
790,If I could be like that...,eng
791,For some reason I feel more alive at night.,eng
792,It depends on the context.,eng
793,Are you freaking kidding me?!,eng
794,That's the stupidest thing I've ever said.,eng
795,I don't want to be lame; I want to be cool!!,eng
796,When I grow up,eng
797,America is a lovely place to be,eng
798,I'm very fat.,eng
799,So fuckin' what.,eng
800,I'm gonna shoot him.,eng
801,I'm not a real fish,eng
802,I'm just saying!,eng
803,That was probably what influenced their decision.,eng
804,I've always wondered what it'd be like to have siblings.,eng
805,This is what I would have said.,eng
806,It would take forever for me to explain everything.,eng
807,That's because you're a girl.,eng
808,Sometimes I can't help showing emotions.,eng
809,It's a word I'd like to find a substitute for.,eng
810,It would be something I'd have to program.,eng
811,I don't intend to be selfish.,eng
812,Let's consider the worst that could happen.,eng
813,How many close friends do you have?,eng
814,I may be antisocial,eng
815,This is always the way it has been.,eng
816,I think it is best not to be impolite.,eng
817,One can always find time.,eng
818,I'd be unhappy,eng
819,Back in high school,eng
820,When I woke up,eng
821,That is somewhat explained at the end.,eng
822,I thought you liked to learn new things.,eng
823,Most people write about their daily life.,eng
824,If I could send you a marshmallow,eng
825,In order to do that,eng
826,Every person who is alone is alone because they are afraid of others.,eng
827,Why are you asking?,eng
828,I am not an artist. I never had the knack for it.,eng
829,I can't tell her now. It's not that simple.,eng
830,I am a flawed person,eng
831,Whenever I find something I like,eng
832,How long did you stay?,eng
833,Maybe it will be exactly the same for him.,eng
834,Innocence is a beautiful thing.,eng
835,Humans were never meant to live forever.,eng
836,I don't want to lose my ideas,eng
837,I think I have a theory about that.,eng
838,That is intriguing.,eng
839,You are saying you intentionally hide your good looks?,eng
840,I do not have an account in these forums.,eng
841,If anyone was to ask what the point of the story is,eng
842,I didn't know where it came from.,eng
843,I think my living with you has influenced your way of living.,eng
844,This is not important.,eng
845,I didn't like it.,eng
